Dia;Mes;Ano;Clasificacion;Asunto ;Descripcion;Gasto;Ingreso
29;Abril;2016;Transporte;Autobus;Hospital Ribera - Estacion Renfe; 0.70   ;0
29;Abril;2016;Transporte;Tren;renfe alcira a carcaixent; 1.80   ;0
27;Abril;2016;Transporte;Tren;Carcaixent - Valencia norte - ida y vuelta Sin familia Num; 7.50   ;0
26;Abril;2016;Transporte;Autobus;Carcaixent - Hospital Ribera; 1.50   ;0
25;Abril;2016;Transporte;Autobus;Hospital Ribera - Carcaixent ; 1.50   ;0
24;Abril;2016;Transporte;Tren;Valencia - Carcaixent; 3.70   ;0
23;Abril;2016;Ocio;Comida/Cena;Cena con los Companeros de piso y el grupo de musica; 9.50   ;0
23;Abril;2016;Transporte;Tren;Carcaixent - Valencia; 3.70   ;0
19;Abril;2016;Transporte;Tren;Carcaixent - Valencia norte - ida y vuelta Sin familia Num; 7.50   ;0
19;Abril;2016;Transporte;Metro;Bonometro 10 Valencia; 8.50   ;0
18;Abril;2016;Transporte;Tren;Carcaixent - Valencia norte - ida y vuelta Sin familia Num; 7.50   ;0
11;Abril;2016;Transporte;Tren;Carcaixent - Valencia norte - ida y vuelta Sin familia Num; 7.50   ;0
1;Abril;2016;Salario;Ingreso mensual;Ingreso mensual;0; 150.00   
31;Mayo;2016;Transporte;Autobus;Hospital Ribera - Carcaixent; 1.50   ;0
31;Mayo;2016;Transporte;Autobus;Carcaixent - Hospital Ribera; 1.50   ;0
30;Mayo;2016;Salario;Remuneracion;practicas empresa Ribera Salud UTE II  ;0; 400.75   
30;Mayo;2016;Transporte;Autobus;Hospital Ribera - Carcaixent; 1.50   ;0
27;Mayo;2016;Transporte;Tren;Valencia - Carcaixent - ida con familia numerosa; 2.95   ;0
27;Mayo;2016;Transporte;Tren;Carcaixent - Valencia - da con familia numerosa; 2.95   ;0
27;Mayo;2016;Ocio;Cine;Xmen apocalipsis en los cines Liss; 3.50   ;0
27;Mayo;2016;Ocio;Comida/Cena;Comida con Vicente en Fosrers; 22.00   ;0
26;Mayo;2016;Transporte;Autobus;Hospital Ribera - Carcaixent; 1.50   ;0
25;Mayo;2016;Transporte;Autobus;Hospital Ribera - Carcaixent; 1.50   ;0
24;Mayo;2016;Transporte;Autobus;Carcaixent - Hospital Ribera; 1.50   ;0
24;Mayo;2016;Caprichos;GAME;Juego de TotalWar Warhammer; 46.95   ;0
23;Mayo;2016;Transporte;Tren;Renfe Alcira - Carcaixent con descuento de familia númerosa; 1.45   ;0
23;Mayo;2016;Transporte;Autobus;Hospital Alcira - Renfe Alcira; 0.70   ;0
19;Mayo;2016;Transporte;Autobus;Hospital Ribera - Carcaixent; 1.50   ;0
18;Mayo;2016;Transporte;Autobus;Hospital Ribera - Carcaixent; 1.50   ;0
17;Mayo;2016;Transporte;Autobus;Carcaixent - Hospital Ribera; 1.50   ;0
17;Mayo;2016;Transporte;Autobus;Hospital Ribera - Carcaixent; 1.50   ;0
13;Mayo;2016;Ocio;Comida/Cena;Cena con Vicente; 9.20   ;0
12;Mayo;2016;Transporte;Tren;Alcira - Carcaixent  con descuento dr familia numerosa; 1.45   ;0
12;Mayo;2016;Transporte;Autobus;Hospital Alcira - Renfe Alcira; 0.70   ;0
11;Mayo;2016;Transporte;Tren;Carcaixent - Valencia norte - ida y vuelta Con familia Num; 5.90   ;0
