Dia;Mes;Año;Cuenta;ISIN;Operación;Precio;Titulos;Cambio;Descripcion
2019;9;2019;IndexaCapital;IE00B03HD191;compra;26,62;22,68;1;La fecha no existe
7;2019;2020;IndexaCapital;IE00B03HD191;compra;28,47;15,28;1;La fecha no existe
3;6;2020;AAA;IE00B03HD191;venta;26,9;37,96;1;La cuenta no esta registrada
11;6;2020;IndexaCapital;IE00BFPM9N11;compra;190,08;5,37;1;
3;6;2020;IndexaCapital;IE00BFPM9N12;compra;190,08;5,37;1;Operación Duplicada
6;1;2020;IndexaCapital;AAA;compra;107,24;2,87;1;Activo no registrado
3;6;2020;IndexaCapital;IE00B18GC888;aaa;109,25;6,44;1;Compra o enta mal
5;6;2020;IndexaCapital;IE00BGCZ0B53;compra;117.33;5,99;1;Deberia colar
10;3;2020;DeGiro;IE00B4L5Y983;compra;41;9.3;1;Deberia colar
3;6;2020;ClickTrade;ITX;compra;23*91;22;1;Numero real incorrrecto
1;2;2021;IndexaCapital;IE00BGCZ0B53;compra;118,9166;3*11;1;Numero real incorrrecto
